# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe									
# udpipe_model = russian-syntagrus-ud-2.6-200830									
# udpipe_model_licence = CC BY-NC-SA									
1	Я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@uad1986m_words#@uad1986m#3.97#4.465
2	никогда	никогда	ADV	_	Degree=Pos	_	_	_	@uad1986m_words#@uad1986m#4.465#4.96
3	не	не	PART	_	_	_	_	_	@uad1986m_words#@uad1986m#4.96#5.455
4	понимал	понимать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m_words#@uad1986m#5.455#5.95
5	почему	почему	ADV	_	Degree=Pos	_	_	_	@uad1986m_words#@uad1986m#5.95#6.445
6	большим	большой	ADJ	_	Case=Dat|Degree=Pos|Number=Plur	_	_	_	@uad1986m_words#@uad1986m#6.445#6.94
7	актерам	актер	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	_	_	_	@uad1986m_words#@uad1986m#6.94#7.435
8	/	/	PUNCT	_	_	_	_	_	@uad1986m_words#@uad1986m#7.435#7.93
9	или	или	CCONJ	_	_	_	_	_	@uad1986m_words#@uad1986m#7.93#8.425
10	режиссерам	режиссер	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	_	_	_	@uad1986m_words#@uad1986m#8.425#8.92
11	/	/	PUNCT	_	_	_	_	_	@uad1986m_words#@uad1986m#8.92#9.415
12	так	так	ADV	_	Degree=Pos	_	_	_	@uad1986m_words#@uad1986m#9.415#9.91
13	важны	важный	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	_	_	_	@uad1986m_words#@uad1986m#9.91#10.405
14	конкурсы	конкурс	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@uad1986m_words#@uad1986m#10.405#10.784
15	Ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@uad1986m_words#@uad1986m#11.095#11.473
16	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#11.473#11.851
17	понимаешь	понимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m_words#@uad1986m#11.851#12.23
18	Широкое	широкий	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#36.495#36.926
19	с	с	ADP	_	_	_	_	_	@uad1986m_words#@uad1986m#36.926#37.357
20	высоким	высокий	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#37.357#37.788
21	сравнить	сравнивать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@uad1986m_words#@uad1986m#37.788#38.22
22	мм	мм	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#39.01#39.32
23	Потому	потому	ADV	_	Degree=Pos	_	_	_	@uad1986m_words#@uad1986m#68.365#68.699
24	что	что	SCONJ	_	_	_	_	_	@uad1986m_words#@uad1986m#68.699#69.033
25	большой	большой	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#69.033#69.367
26	классный	классный	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#69.367#69.701
27	фильм	фильм	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#69.701#70.035
28	Легкий	легкий	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#78.89#79.445
29	пофигизм	пофигизм	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#79.445#80.0
30	Рыдать	рыдать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@uad1986m_words#@uad1986m#173.285#174.025
31	И	и	CCONJ	_	_	_	_	_	@uad1986m_words#@uad1986m#212.705#213.118
32	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@uad1986m_words#@uad1986m#213.118#213.531
33	рыдала	рыдать	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m_words#@uad1986m#213.531#213.945
34	У	у	ADP	_	_	_	_	_	@uad1986m_words#@uad1986m#265.695#266.138
35	тебя	ты	PRON	_	Case=Gen|Number=Sing|Person=2	_	_	_	@uad1986m_words#@uad1986m#266.138#266.581
36	есть	есть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m_words#@uad1986m#266.581#267.024
37	опыт	опыт	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#267.024#267.467
38	или	или	CCONJ	_	_	_	_	_	@uad1986m_words#@uad1986m#267.467#267.91
39	пример	пример	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#267.91#268.353
40	когда	когда	SCONJ	_	_	_	_	_	@uad1986m_words#@uad1986m#268.353#268.796
41	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@uad1986m_words#@uad1986m#268.796#269.239
42	смотрела	смотреть	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m_words#@uad1986m#269.239#269.682
43	на	на	ADP	_	_	_	_	_	@uad1986m_words#@uad1986m#269.682#270.125
44	чью-то	чей-то	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#270.125#270.568
45	игру	игра	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#270.568#271.011
46	либо	либо	CCONJ	_	_	_	_	_	@uad1986m_words#@uad1986m#271.011#271.454
47	в	в	ADP	_	_	_	_	_	@uad1986m_words#@uad1986m#271.454#271.897
48	театре	театр	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#271.897#272.34
49	либо	либо	CCONJ	_	_	_	_	_	@uad1986m_words#@uad1986m#272.34#272.783
50	в	в	ADP	_	_	_	_	_	@uad1986m_words#@uad1986m#272.783#273.226
51	кино	кино	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#273.226#273.669
52	и	и	CCONJ	_	_	_	_	_	@uad1986m_words#@uad1986m#273.669#274.112
53	говорила	говорить	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m_words#@uad1986m#274.112#274.555
54	вот	вот	PART	_	_	_	_	_	@uad1986m_words#@uad1986m#274.555#274.998
55	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@uad1986m_words#@uad1986m#274.998#275.441
